step,starting_modules,modules,move_type,energy,mc_outcome
44,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,Y3O3YO2YOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2YOY2O2YOYO2YOYO,2,1.5384615384615386e+18,cR
45,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYOYO3YO2YOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2Y2O2YO2Y3O2YOYO2YOYO,2,1.5384615384615386e+18,cR
46,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO3YO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYOYOYOYO,2,1.5384615384615386e+18,cR
47,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
48,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2Y2O4YOYOYO,7,6.666666666666667e+18,cR
49,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,3,1.5384615384615386e+18,cR
50,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2Y3O3YO5YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
51,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO3Y2OY2O3YO2YO2YOYO2Y2OYO2YO3YO2YO2YO2YOY2O2YOYO2Y3O6Y2O,9,1.5384615384615386e+18,cR
52,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,OY4O2YOY2O2YOYOYOYO2Y3O2Y2O4Y2O2YO2YO5Y2O10Y3O2YO,10,1.5384615384615386e+18,cR
53,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOY2O3YO2YOYO3YOYOYOYO2YO2YO2YO3YO3Y2O2YOYO2YO2Y3O2YOYO2YOYO,2,1.5384615384615386e+18,cR
54,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO2YO2Y2O2YOYOYO2YO2,7,5e+18,cR
55,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO4YO2YOYO2YOYOY2O3Y2O2YOYOYO2,6,2.857142857142857e+18,cR
56,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YO2YOYO2YOYO3YOYO2Y2O3YO2YOYO2Y2OY2O3,7,2.2222222222222223e+18,cR
57,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,1,1.5384615384615386e+18,cR
58,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,OY2OYOY2OY2OYO2Y4O2YO5YO3Y2O10YOY3OYO3Y2O3YO3Y2O,10,1.5384615384615386e+18,cR
59,YOYO2YOYOYO2Y3O2YO2YOYO2YOYO3YO2YO2YO2YO2YOYOYO2YO2YOYO2YO3Y2O,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,7,1.3333333333333332e+18,A
60,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YO3YO3YO2YOY2O2YO2YO2YOYOYOYOY2O2YOYO2YO2YO2YO2YOYOYOY2OYOYO3,2,1.3333333333333332e+18,cR
61,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYO2YOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
62,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOY2OYO2YO2YO2YO5Y2OYO2YOY3O2YO2YO2Y2O3YO3YO2YO2YOYO2YO2,9,1.3333333333333332e+18,cR
63,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YOYO3YO2YOYOYO,6,6.666666666666667e+18,cR
64,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYO2YO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YOYO,1,1.3333333333333332e+18,cR
65,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYOYOYOY2O2YOYO2YO2YO2YOYO2YO2YO3YO2YOY2O3YO2YO2YO2YOYOYOY2OYOYO3,4,1.3333333333333332e+18,cR
66,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,Y2OYOYO2YOYOYOYOYO2YO3YOYO2YOYO3Y2O2YO2YOYO2YO2YOYOYOYO2YO2YO2YO2YO2YOYO2,10,1.3333333333333332e+18,cR
67,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO3YOYOY2OYO2YOYO2YO2YO2YO2YOYO2Y2OYOYOY2O2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,1,1.3333333333333332e+18,cR
68,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,O4Y2OY5OYO2Y2O4YO2YOYO2YO2Y3O2YOYOYO4YO3Y4O7YOYOYOYO4YO,10,1.3333333333333332e+18,cR
69,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO,6,2e+19,cR
70,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,O5Y3O2YOYO2YO2YO2YO2Y2O3Y4OYO2Y2OYO4YO3Y2O3Y2O5YOYOY2OYO2Y2O2,10,1.3333333333333332e+18,cR
71,YO3YOYOY2OYOYOYO2YO2YO2YO2YOYO2Y2OYOYOYOYO2YO2YO3Y2OYO2YO3YO2YO2YOYO2YO2,YO2YO2YOYO2YO2YO3YO2YOY2O3YO2YO2YOYOYOYOY2O2YOYO2YO2YO2YO2YOYOYOY2OYOYO3,2,1.3333333333333332e+18,cR
